Date,Population,ConfirmedCases,Fatalities,Day,Week
2020-01-23,335436577,0,0,-48,-6
2020-01-24,335436577,1,0,-47,-6
2020-01-25,335436577,0,0,-46,-6
2020-01-26,335436577,3,0,-45,-6
2020-01-27,335436577,0,0,-44,-6
2020-01-28,335436577,0,0,-43,-6
2020-01-29,335436577,0,0,-42,-6
2020-01-30,335436577,0,0,-41,-5
2020-01-31,335436577,2,0,-40,-5
2020-02-01,335436577,1,0,-39,-5
2020-02-02,335436577,0,0,-38,-5
2020-02-03,335436577,3,0,-37,-5
2020-02-04,335436577,0,0,-36,-5
2020-02-05,335436577,0,0,-35,-5
2020-02-06,335436577,0,0,-34,-4
2020-02-07,335436577,0,0,-33,-4
2020-02-08,335436577,0,0,-32,-4
2020-02-09,335436577,0,0,-31,-4
2020-02-10,335436577,0,0,-30,-4
2020-02-11,335436577,1,0,-29,-4
2020-02-12,335436577,0,0,-28,-4
2020-02-13,335436577,1,0,-27,-3
2020-02-14,335436577,0,0,-26,-3
2020-02-15,335436577,0,0,-25,-3
2020-02-16,335436577,0,0,-24,-3
2020-02-17,335436577,0,0,-23,-3
2020-02-18,335436577,0,0,-22,-3
2020-02-19,335436577,0,0,-21,-3
2020-02-20,335436577,0,0,-20,-2
2020-02-21,335436577,2,0,-19,-2
2020-02-22,335436577,0,0,-18,-2
2020-02-23,335436577,0,0,-17,-2
2020-02-24,335436577,0,0,-16,-2
2020-02-25,335436577,0,0,-15,-2
2020-02-26,335436577,0,0,-14,-2
2020-02-27,335436577,1,0,-13,-1
2020-02-28,335436577,0,0,-12,-1
2020-02-29,335436577,8,1,-11,-1
2020-03-01,335436577,6,0,-10,-1
2020-03-02,335436577,23,5,-9,-1
2020-03-03,335436577,20,1,-8,-1
2020-03-04,335436577,31,4,-7,-1
2020-03-05,335436577,70,1,-6,-0
2020-03-06,335436577,48,2,-5,-0
2020-03-07,335436577,115,3,-4,-0
2020-03-08,335436577,114,4,-3,-0
2020-03-09,335436577,68,1,-2,-0
2020-03-10,335436577,186,6,-1,-0
2020-03-11,335436577,403,4,0,0
2020-03-12,335436577,416,10,1,1
2020-03-13,335436577,514,9,2,1
2020-03-14,335436577,716,7,3,1
2020-03-15,335436577,201,13,4,1
2020-03-16,335436577,1350,28,5,1
2020-03-17,335436577,1725,34,6,1
2020-03-18,335436577,2761,57,7,1
2020-03-19,335436577,4700,61,8,2
2020-03-20,335436577,4717,95,9,2
2020-03-21,335436577,6792,98,10,2
2020-03-22,335436577,7766,92,11,2
